symbol,name,currency,exchange,mic_code,country,type
AACG,ATA Creativity Global,USD,NASDAQ,XNMS,United States,Depositary Receipt
AACI,Armada Acquisition Corp. I,USD,NASDAQ,XNMS,United States,Common Stock
AACIU,Armada Acquisition Corp. I Unit,USD,NASDAQ,XNMS,United States,Common Stock
AACIW,Armada Acquisition Corp. I,USD,NASDAQ,XNMS,United States,Common Stock
AACOU,Advancit Acquisition Corp. I,USD,NASDAQ,XNCM,United States,Common Stock
AADI,"Aadi Bioscience, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
AAL,American Airlines Group Inc,USD,NASDAQ,XNGS,United States,Common Stock
AAME,Atlantic American Corp,USD,NASDAQ,XNMS,United States,Common Stock
AAOI,Applied Optoelectronics Inc,USD,NASDAQ,XNMS,United States,Common Stock
AAON,AAON Inc,USD,NASDAQ,XNGS,United States,Common Stock
AAPL,Apple Inc,USD,NASDAQ,XNGS,United States,Common Stock
AAWW,Atlas Air Worldwide Holdings Inc,USD,NASDAQ,XNGS,United States,Common Stock
ABCB,Ameris Bancorp,USD,NASDAQ,XNGS,United States,Common Stock
ABCL,AbCellera Biologics Inc,USD,NASDAQ,XNGS,United States,Common Stock
ABCM,Abcam PLC,USD,NASDAQ,XNGS,United States,American Depositary Receipt
ABEO,Abeona Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock
ABGI,ABG Acquisition Corp. I,USD,NASDAQ,XNCM,United States,Common Stock
ABIO,ARCA biopharma Inc,USD,NASDAQ,XNCM,United States,Common Stock
ABMD,ABIOMED Inc,USD,NASDAQ,XNGS,United States,Common Stock
ABNB,"Airbnb, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
ABOS,"Acumen Pharmaceuticals, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
ABP,2,USD,NASDAQ,XNMS,United States,Common Stock
ABSI,Absci Corporation,USD,NASDAQ,XNGS,United States,Common Stock
ABST,Absolute Software Corporation,USD,NASDAQ,XNGS,United States,Common Stock
ABUS,Arbutus Biopharma Corp,USD,NASDAQ,XNGS,United States,Common Stock
ABVC,American BriVision (Holding) Corporation,USD,NASDAQ,XNCM,United States,Common Stock
ACAB,Atlantic Coastal Acquisition Corp. II,USD,NASDAQ,XNMS,United States,Common Stock
ACABU,Atlantic Coastal Acquisition Corp II,USD,NASDAQ,XNMS,United States,Unit
ACABW,Atlantic Coastal Acquisition Corp. II,USD,NASDAQ,XNMS,United States,Common Stock
ACACU,Acri Capital Acquisition Corp,USD,NASDAQ,XNMS,United States,Unit
ACACW,Acri Capital Acquisition Corporation,USD,NASDAQ,XNMS,United States,Common Stock
ACAD,ACADIA Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock
ACAH,Atlantic Coastal Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ACAHU,Atlantic Coastal Acquisition Corp.,USD,NASDAQ,XNCM,United States,Unit
ACAX,Alset Capital Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
ACAXR,Alset Capital Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
ACAXU,Alset Capital Acquisition Corp,USD,NASDAQ,XNMS,United States,Unit
ACAXW,Alset Capital Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
ACB,Aurora Cannabis Inc,USD,NASDAQ,XNGS,United States,Common Stock
ACBA,Ace Global Business Acquisition Limited,USD,NASDAQ,XNCM,United States,Common Stock
ACBAU,Ace Global Business Acquisition Limited,USD,NASDAQ,XNCM,United States,Unit
ACBAW,Ace Global Business Acquisition Limited,USD,NASDAQ,XNCM,United States,Common Stock
ACCD,Accolade Inc,USD,NASDAQ,XNGS,United States,Common Stock
ACDC,ProFrac Holding Corp,USD,NASDAQ,XNGS,United States,Common Stock
ACDCW,ProFrac Holding Corp.,USD,NASDAQ,XNMS,United States,Common Stock
ACER,Acer Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock
ACET,"Adicet Bio, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
ACEV,ACE Convergence Acquisition Corp,USD,NASDAQ,XNCM,United States,Common Stock
ACGL,Arch Capital Group Ltd,USD,NASDAQ,XNGS,United States,Common Stock
ACGLN,Arch Capital Group Ltd.,USD,NASDAQ,XNGS,United States,Common Stock
ACGLO,Arch Capital Group Ltd,USD,NASDAQ,XNGS,United States,Preferred Stock
ACGN,"Idera Pharmaceuticals, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ACHC,Acadia Healthcare Co Inc,USD,NASDAQ,XNGS,United States,Common Stock
ACHL,Achilles Therapeutics plc,USD,NASDAQ,XNGS,United States,Common Stock
ACHV,Achieve Life Sciences Inc,USD,NASDAQ,XNCM,United States,Common Stock
ACIU,AC Immune SA,USD,NASDAQ,XNMS,United States,Common Stock
ACIW,ACI Worldwide Inc,USD,NASDAQ,XNGS,United States,Common Stock
ACLS,Axcelis Technologies Inc,USD,NASDAQ,XNGS,United States,Common Stock
ACLX,"Arcellx, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
ACMR,ACM Research Inc,USD,NASDAQ,XNMS,United States,Common Stock
ACNB,ACNB Corp,USD,NASDAQ,XNCM,United States,Common Stock
ACNT,Ascent Industries Co.,USD,NASDAQ,XNMS,United States,Common Stock
ACON,"Aclarion, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ACONW,"Aclarion, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ACOR,Acorda Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock
ACQR,Independence Holdings Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ACQRU,Independence Holdings Corp.,USD,NASDAQ,XNCM,United States,Unit
ACRS,Aclaris Therapeutics Inc,USD,NASDAQ,XNGS,United States,Common Stock
ACRV,"Acrivon Therapeutics, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
ACRX,AcelRx Pharmaceuticals Inc,USD,NASDAQ,XNMS,United States,Common Stock
ACST,Acasti Pharma Inc,USD,NASDAQ,XNCM,United States,Common Stock
ACTG,Acacia Research Corp,USD,NASDAQ,XNGS,United States,Common Stock
ACVA,ACV Auctions Inc.,USD,NASDAQ,XNGS,United States,Common Stock
ACXP,"Acurx Pharmaceuticals, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ADAG,Adagene Inc.,USD,NASDAQ,XNMS,United States,Common Stock
ADAL,Anthemis Digital Acquisitions I Corp,USD,NASDAQ,XNMS,United States,Common Stock
ADALU,Anthemis Digital Acquisitions I Corp,USD,NASDAQ,XNMS,United States,Unit
ADALW,Anthemis Digital Acquisitions I Corp,USD,NASDAQ,XNMS,United States,Common Stock
ADAP,Adaptimmune Therapeutics Plc,USD,NASDAQ,XNGS,United States,Depositary Receipt
ADBE,Adobe Inc,USD,NASDAQ,XNGS,United States,Common Stock
ADD,Color Star Technology Co. Ltd.,USD,NASDAQ,XNCM,United States,Common Stock
ADEA,Adeia Inc.,USD,NASDAQ,XNGS,United States,Common Stock
ADERU,26 Capital Acquisition Corp.,USD,NASDAQ,XNCM,United States,Unit
ADERW,26 Capital Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ADES,ADES International Holding PLC,USD,NASDAQ,XNMS,United States,Common Stock
ADGI,"Adagio Therapeutics, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
ADI,Analog Devices Inc,USD,NASDAQ,XNGS,United States,Common Stock
ADIL,Adial Pharmaceuticals Inc,USD,NASDAQ,XNCM,United States,Common Stock
ADILW,"Adial Pharmaceuticals, Inc. WT EXP 073123",USD,NASDAQ,XNCM,United States,Common Stock
ADMA,ADMA Biologics Inc,USD,NASDAQ,XNMS,United States,Common Stock
ADMP,Adamis Pharmaceuticals Corp,USD,NASDAQ,XNCM,United States,Common Stock
ADN,"Advent Technologies Holdings, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ADNWW,"Advent Technologies Holdings, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ADOC,Edoc Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ADOCR,Edoc Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ADOCW,Edoc Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
ADP,Automatic Data Processing Inc,USD,NASDAQ,XNGS,United States,Common Stock
ADPT,Adaptive Biotechnologies Corp,USD,NASDAQ,XNGS,United States,Common Stock
ADSE,ADS-TEC Energy PLC,USD,NASDAQ,XNCM,United States,Common Stock
ADSEW,ADS-TEC Energy PLC,USD,NASDAQ,XNMS,United States,Common Stock
ADSK,Autodesk Inc,USD,NASDAQ,XNGS,United States,Common Stock
ADTH,"AdTheorent Holding Company, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
ADTHW,"AdTheorent Holding Company, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
ADTN,ADTRAN Inc,USD,NASDAQ,XNGS,United States,Common Stock
ADTX,Aditx Therapeutics Inc,USD,NASDAQ,XNCM,United States,Common Stock
ADUS,Addus HomeCare Corp,USD,NASDAQ,XNGS,United States,Common Stock
ADV,Advantage Solutions Inc,USD,NASDAQ,XNGS,United States,Common Stock
ADVM,Adverum Biotechnologies Inc,USD,NASDAQ,XNMS,United States,Common Stock
ADVWW,Advantage Solutions Inc.,USD,NASDAQ,XNGS,United States,Common Stock
ADXN,Addex Therapeutics Ltd,USD,NASDAQ,XNCM,United States,Depositary Receipt
AEAC,Authentic Equity Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
AEACU,Authentic Equity Acquisition Corp.,USD,NASDAQ,XNCM,United States,Unit
AEACW,Authentic Equity Acquisition Corp.,USD,NASDAQ,XNCM,United States,Common Stock
AEAE,AltEnergy Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
AEAEU,AltEnergy Acquisition Corp.,USD,NASDAQ,XNMS,United States,Unit
AEAEW,AltEnergy Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
AEHA,Aesther Healthcare Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
AEHAW,Aesther Healthcare Acquisition Corp.,USD,NASDAQ,XNMS,United States,Common Stock
AEHL,Antelope Enterprise Holdings Limited,USD,NASDAQ,XNCM,United States,Common Stock
AEHR,Aehr Test Systems,USD,NASDAQ,XNCM,United States,Common Stock
AEI,Alset EHome International Inc.,USD,NASDAQ,XNCM,United States,Common Stock
AEIS,Advanced Energy Industries Inc,USD,NASDAQ,XNGS,United States,Common Stock
AEMD,Aethlon Medical Inc,USD,NASDAQ,XNCM,United States,Common Stock
AEON,"AEON Biopharma, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
AEP,American Electric Power Co Inc,USD,NASDAQ,XNGS,United States,Common Stock
AEPPZ,"American Electric Power Company, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
AERC,"AeroClean Technologies, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
AEY,ADDvantage Technologies Group Inc,USD,NASDAQ,XNCM,United States,Common Stock
AEYE,AudioEye Inc,USD,NASDAQ,XNCM,United States,Common Stock
AEZS,Aeterna Zentaris Inc,USD,NASDAQ,XNCM,United States,Common Stock
AFAR,Aura FAT Projects Acquisition Corp,USD,NASDAQ,XNMS,United States,Common Stock
AFARU,Aura FAT Projects Acquisition Corp,USD,NASDAQ,XNMS,United States,Unit
AFARW,Aura FAT Projects Acquisition Corp,USD,NASDAQ,XNGS,United States,Common Stock
AFBI,"Affinity Bancshares, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
AFCG,"AFC Gamma, Inc.",USD,NASDAQ,XNMS,United States,Common Stock
AFIB,"Acutus Medical, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
AFMD,Affimed NV,USD,NASDAQ,XNMS,United States,Common Stock
AFRI,Forafric Global PLC,USD,NASDAQ,XNCM,United States,Common Stock
AFRIW,Forafric Global PLC,USD,NASDAQ,XNMS,United States,Common Stock
AFRM,"Affirm Holdings, Inc.",USD,NASDAQ,XNGS,United States,Common Stock
AFYA,Afya Ltd,USD,NASDAQ,XNGS,United States,Common Stock
AGAE,Allied Gaming & Entertainment Inc.,USD,NASDAQ,XNCM,United States,Common Stock
AGBA,Agba Acquisition Ltd,USD,NASDAQ,XNCM,United States,Common Stock
AGBAW,AGBA Group Holding Limited,USD,NASDAQ,XNCM,United States,Common Stock
AGEN,Agenus Inc,USD,NASDAQ,XNCM,United States,Common Stock
AGFS,AgroFresh Solutions Inc,USD,NASDAQ,XNGS,United States,Common Stock
AGFY,Agrify Corporation,USD,NASDAQ,XNCM,United States,Common Stock
AGGR,Agile Growth Corp.,USD,NASDAQ,XNCM,United States,Common Stock
AGGRU,Agile Growth Corp.,USD,NASDAQ,XNCM,United States,Unit
AGIL,"AgileThought, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
AGILW,"AgileThought, Inc.",USD,NASDAQ,XNCM,United States,Common Stock
AGIO,Agios Pharmaceuticals Inc,USD,NASDAQ,XNGS,United States,Common Stock
AGLE,Aeglea BioTherapeutics Inc,USD,NASDAQ,XNMS,United States,Common Stock
AGMH,AGM Group Holdings Inc,USD,NASDAQ,XNCM,United States,Common Stock
AGNC,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,REIT
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred S",USD,NASDAQ,XNGS,United States,Common Stock
AGNCM,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,Preferred Stock
AGNCN,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,Preferred Stock
AGNCO,AGNC Investment Corp,USD,NASDAQ,XNGS,United States,Preferred Stock
